# Timestep Metrics Log
# Format: step | avg_loss | avg_1-cos_sim
#======================================================================
Step 55600: loss=0.158985, 1-cos=0.065460
Step 55800: loss=0.180711, 1-cos=0.076707
Step 56000: loss=0.162013, 1-cos=0.068544
Step 56200: loss=0.162186, 1-cos=0.068447
Step 56400: loss=0.183165, 1-cos=0.078321
Step 56600: loss=0.149519, 1-cos=0.061729
Step 56800: loss=0.186581, 1-cos=0.078365
Step 57000: loss=0.208320, 1-cos=0.090096
Step 57200: loss=0.191357, 1-cos=0.080791
Step 57400: loss=0.188521, 1-cos=0.081218
Step 57600: loss=0.190129, 1-cos=0.078647
Step 57800: loss=0.165483, 1-cos=0.068004
Step 58000: loss=0.176178, 1-cos=0.071794
Step 58200: loss=0.174755, 1-cos=0.073407
Step 58400: loss=0.181714, 1-cos=0.075491
Step 58600: loss=0.162256, 1-cos=0.067583
Step 58800: loss=0.180180, 1-cos=0.075461
Step 59000: loss=0.188008, 1-cos=0.081779
Step 59200: loss=0.179377, 1-cos=0.076233
Step 59400: loss=0.181567, 1-cos=0.077034
Step 59600: loss=0.201042, 1-cos=0.086512
Step 59800: loss=0.168036, 1-cos=0.069861
Step 60000: loss=0.194106, 1-cos=0.081548
Step 60200: loss=0.163704, 1-cos=0.068345
Step 60400: loss=0.174507, 1-cos=0.075772
Step 60600: loss=0.193901, 1-cos=0.083607
Step 60800: loss=0.156575, 1-cos=0.066404
Step 61000: loss=0.183446, 1-cos=0.076136
Step 61200: loss=0.182335, 1-cos=0.076598
Step 61400: loss=0.150563, 1-cos=0.062507
Step 61600: loss=0.167230, 1-cos=0.068805
Step 61800: loss=0.193909, 1-cos=0.083054
Step 62000: loss=0.176280, 1-cos=0.073415
Step 62200: loss=0.166771, 1-cos=0.069613
Step 62400: loss=0.170113, 1-cos=0.071126
Step 62600: loss=0.154537, 1-cos=0.062708
Step 62800: loss=0.179237, 1-cos=0.076820
Step 63000: loss=0.161608, 1-cos=0.066071
Step 63200: loss=0.164516, 1-cos=0.068367
Step 63400: loss=0.182153, 1-cos=0.079176
Step 63600: loss=0.159230, 1-cos=0.066914
Step 63800: loss=0.175591, 1-cos=0.072082
Step 64000: loss=0.175610, 1-cos=0.072917
Step 64200: loss=0.170103, 1-cos=0.070979
Step 64400: loss=0.190866, 1-cos=0.082754
Step 64600: loss=0.174313, 1-cos=0.073684
Step 64800: loss=0.174872, 1-cos=0.071619
Step 65000: loss=0.165722, 1-cos=0.070919
Step 65200: loss=0.172851, 1-cos=0.074700
Step 65400: loss=0.180950, 1-cos=0.076905
Step 65600: loss=0.166782, 1-cos=0.068822
Step 65800: loss=0.163960, 1-cos=0.070102
