eval_index,time,eval_type,cos_sim_mean,cos_sim_std,angle_mean_deg,angle_std_deg,vel_norm_mean,vel_norm_std,curv_mean_k,curv_std_k
25,0.26,start,0.9999635219573975,5.732430508942343e-06,0.4406118,0.21300572,11.280713081359863,0.02098405733704567,0.8573382496833801,0.015504411421716213
26,0.27,midpoint,0.9999576210975647,6.62868433209951e-06,0.4759923,0.22835603,12.168225288391113,0.022657055407762527,0.8939917087554932,0.0186481811106205
27,0.28,start,0.9999505281448364,7.679974260099698e-06,0.51477534,0.24457437,13.090193748474121,0.02446374110877514,0.9303802847862244,0.02287345565855503
28,0.29000000000000004,midpoint,0.9999461770057678,8.130004061968066e-06,0.53927356,0.24983929,14.049135208129883,0.026406623423099518,0.9690767526626587,0.027100129052996635
29,0.3,start,0.9999395608901978,8.992243238026276e-06,0.5734942,0.26118293,15.041854858398438,0.02863120287656784,1.0053290128707886,0.03284816816449165
30,0.31,midpoint,0.9999369382858276,9.068415238289163e-06,0.58929455,0.25889847,16.071964263916016,0.031184405088424683,1.044596552848816,0.03783014416694641
31,0.32,start,0.9999312162399292,9.608645996195264e-06,0.6175706,0.26651487,17.137548446655273,0.03420407697558403,1.0829657316207886,0.044717758893966675
32,0.33,midpoint,0.9999303221702576,9.338607924291864e-06,0.62509125,0.25947252,18.242517471313477,0.03776087611913681,1.124218463897705,0.049982331693172455
33,0.34,start,0.9999223351478577,1.0143935469386633e-05,0.66086996,0.2705135,19.386009216308594,0.04207916930317879,1.1668477058410645,0.05906372517347336
34,0.35000000000000003,midpoint,0.9999244809150696,9.463752576266415e-06,0.6553001,0.25842208,20.567296981811523,0.047097355127334595,1.2061045169830322,0.06388550996780396
35,0.36,start,0.9999172687530518,1.016613623505691e-05,0.68649,0.26774785,21.78897476196289,0.05310134217143059,1.2511003017425537,0.07408324629068375
36,0.37,midpoint,0.999921441078186,9.310455425293185e-06,0.67230356,0.25185537,23.053422927856445,0.05987434834241867,1.2947522401809692,0.078003890812397
37,0.38,start,0.9999153017997742,1.0048761396319605e-05,0.69841844,0.26115623,24.355518341064453,0.0677894875407219,1.3374656438827515,0.08893658965826035
