Training started at 2025-11-28 11:51:55
Configuration:
  Model: icfm
  Learning rate: 0.0002
  Total steps: 400001
  Batch size: 64
  Lambda weights - vec: 0.5, r: 0.1, dir: 1.0

================================================================================

Step   7400 | Loss: 0.215345 | Vec: 0.185757 | R: 0.177004 | Dir: 0.104766 | LR: 2.000000e-04
Step   7500 | Loss: 0.235677 | Vec: 0.204809 | R: 0.194104 | Dir: 0.113862 | LR: 2.000000e-04
Step   7600 | Loss: 0.204216 | Vec: 0.175672 | R: 0.167998 | Dir: 0.099580 | LR: 2.000000e-04
Step   7700 | Loss: 0.194909 | Vec: 0.166556 | R: 0.155601 | Dir: 0.096071 | LR: 2.000000e-04
Step   7800 | Loss: 0.188583 | Vec: 0.162060 | R: 0.154644 | Dir: 0.092089 | LR: 2.000000e-04
Step   7900 | Loss: 0.223794 | Vec: 0.191437 | R: 0.184054 | Dir: 0.109670 | LR: 2.000000e-04
Step   8000 | Loss: 0.214377 | Vec: 0.185310 | R: 0.171424 | Dir: 0.104579 | LR: 2.000000e-04
Step   8100 | Loss: 0.194058 | Vec: 0.165658 | R: 0.157336 | Dir: 0.095495 | LR: 2.000000e-04
Step   8200 | Loss: 0.217763 | Vec: 0.188092 | R: 0.180783 | Dir: 0.105639 | LR: 2.000000e-04
Step   8300 | Loss: 0.193236 | Vec: 0.165479 | R: 0.157854 | Dir: 0.094711 | LR: 2.000000e-04
Step   8400 | Loss: 0.232289 | Vec: 0.200072 | R: 0.187473 | Dir: 0.113506 | LR: 2.000000e-04
Step   8500 | Loss: 0.201120 | Vec: 0.171910 | R: 0.164636 | Dir: 0.098701 | LR: 2.000000e-04
Step   8600 | Loss: 0.218622 | Vec: 0.185726 | R: 0.175386 | Dir: 0.108220 | LR: 2.000000e-04
Step   8700 | Loss: 0.191807 | Vec: 0.164951 | R: 0.158959 | Dir: 0.093436 | LR: 2.000000e-04
Step   8800 | Loss: 0.235799 | Vec: 0.202954 | R: 0.196345 | Dir: 0.114687 | LR: 2.000000e-04
Step   8900 | Loss: 0.211136 | Vec: 0.180964 | R: 0.171658 | Dir: 0.103489 | LR: 2.000000e-04
Step   9000 | Loss: 0.201128 | Vec: 0.173218 | R: 0.167742 | Dir: 0.097745 | LR: 2.000000e-04
Step   9100 | Loss: 0.225904 | Vec: 0.192187 | R: 0.184892 | Dir: 0.111321 | LR: 2.000000e-04
Step   9200 | Loss: 0.208762 | Vec: 0.178616 | R: 0.170563 | Dir: 0.102398 | LR: 2.000000e-04
Step   9300 | Loss: 0.233149 | Vec: 0.200599 | R: 0.192031 | Dir: 0.113647 | LR: 2.000000e-04
Step   9400 | Loss: 0.232931 | Vec: 0.201965 | R: 0.186295 | Dir: 0.113319 | LR: 2.000000e-04
Step   9500 | Loss: 0.193749 | Vec: 0.167013 | R: 0.160533 | Dir: 0.094189 | LR: 2.000000e-04
Step   9600 | Loss: 0.217155 | Vec: 0.187459 | R: 0.179151 | Dir: 0.105511 | LR: 2.000000e-04
Step   9700 | Loss: 0.234758 | Vec: 0.204219 | R: 0.188656 | Dir: 0.113783 | LR: 2.000000e-04
Step   9800 | Loss: 0.209981 | Vec: 0.179746 | R: 0.168928 | Dir: 0.103215 | LR: 2.000000e-04
Step   9900 | Loss: 0.188462 | Vec: 0.160795 | R: 0.157640 | Dir: 0.092301 | LR: 2.000000e-04
Step  10000 | Loss: 0.210908 | Vec: 0.180865 | R: 0.171557 | Dir: 0.103320 | LR: 2.000000e-04
Step  10100 | Loss: 0.240172 | Vec: 0.207216 | R: 0.193451 | Dir: 0.117219 | LR: 2.000000e-04
Step  10200 | Loss: 0.209789 | Vec: 0.181118 | R: 0.177066 | Dir: 0.101523 | LR: 2.000000e-04
Step  10300 | Loss: 0.214542 | Vec: 0.186067 | R: 0.175602 | Dir: 0.103948 | LR: 2.000000e-04
Step  10400 | Loss: 0.201325 | Vec: 0.171424 | R: 0.168672 | Dir: 0.098746 | LR: 2.000000e-04
Step  10500 | Loss: 0.200305 | Vec: 0.171963 | R: 0.163907 | Dir: 0.097932 | LR: 2.000000e-04
Step  10600 | Loss: 0.241792 | Vec: 0.211066 | R: 0.197736 | Dir: 0.116485 | LR: 2.000000e-04
Step  10700 | Loss: 0.217384 | Vec: 0.186339 | R: 0.176393 | Dir: 0.106575 | LR: 2.000000e-04
Step  10800 | Loss: 0.234303 | Vec: 0.198003 | R: 0.187942 | Dir: 0.116507 | LR: 2.000000e-04
Step  10900 | Loss: 0.229999 | Vec: 0.200247 | R: 0.192051 | Dir: 0.110670 | LR: 2.000000e-04
Step  11000 | Loss: 0.214168 | Vec: 0.184070 | R: 0.176641 | Dir: 0.104469 | LR: 2.000000e-04
Step  11100 | Loss: 0.211641 | Vec: 0.181447 | R: 0.176118 | Dir: 0.103306 | LR: 2.000000e-04
Step  11200 | Loss: 0.193909 | Vec: 0.170759 | R: 0.166932 | Dir: 0.091836 | LR: 2.000000e-04
Step  11300 | Loss: 0.221922 | Vec: 0.192072 | R: 0.183004 | Dir: 0.107586 | LR: 2.000000e-04
Step  11400 | Loss: 0.216269 | Vec: 0.183742 | R: 0.175468 | Dir: 0.106851 | LR: 2.000000e-04
